zone_id,monitored_or_unmonitored,station_count,raw_observation_count,training_rows,validation_rows,test_rows,total_supervised_rows,test_MAE,test_RMSE,test_R2,test_bias,test_sample_count,prediction_available,kriging_available
ZONE-LHR-0147,Monitored Physical Station,1,198,24,67,99,190,11.97,14.79,-0.019,7.27,99,True,True
ZONE-LHR-0148,Unmonitored / Spatial Kriging Target,0,0,0,0,0,0,N/A,N/A,N/A,N/A,0,True,True
ZONE-LHR-0149,Unmonitored / Spatial Kriging Target,0,0,0,0,0,0,N/A,N/A,N/A,N/A,0,True,True
ZONE-LHR-0150,Unmonitored / Spatial Kriging Target,0,0,0,0,0,0,N/A,N/A,N/A,N/A,0,True,True
ZONE-LHR-0151,Unmonitored / Spatial Kriging Target,0,0,0,0,0,0,N/A,N/A,N/A,N/A,0,True,True
ZONE-LHR-0152,Unmonitored / Spatial Kriging Target,0,0,0,0,0,0,N/A,N/A,N/A,N/A,0,True,True
ZONE-LHR-0153,Unmonitored / Spatial Kriging Target,0,0,0,0,0,0,N/A,N/A,N/A,N/A,0,True,True
ZONE-LHR-0154,Unmonitored / Spatial Kriging Target,0,0,0,0,0,0,N/A,N/A,N/A,N/A,0,True,True
ZONE-LHR-0155,Unmonitored / Spatial Kriging Target,0,0,0,0,0,0,N/A,N/A,N/A,N/A,0,True,True
ZONE-LHR-0156,Unmonitored / Spatial Kriging Target,0,0,0,0,0,0,N/A,N/A,N/A,N/A,0,True,True
ZONE-LHR-0157,Monitored Physical Station,1,142,0,75,59,134,12.89,15.6,0.409,4.94,59,True,True
ZONE-LHR-0158,Unmonitored / Spatial Kriging Target,0,0,0,0,0,0,N/A,N/A,N/A,N/A,0,True,True
ZONE-LHR-0159,Monitored Physical Station,1,279,59,110,109,278,13.26,15.62,-0.272,9.77,109,True,True
ZONE-LHR-0160,Unmonitored / Spatial Kriging Target,0,0,0,0,0,0,N/A,N/A,N/A,N/A,0,True,True
ZONE-LHR-0161,Unmonitored / Spatial Kriging Target,0,0,0,0,0,0,N/A,N/A,N/A,N/A,0,True,True
ZONE-LHR-0162,Monitored Physical Station,2,193,129,21,26,176,10.68,13.34,-0.599,8.09,26,True,True
ZONE-LHR-0163,Monitored Physical Station,1,402,182,97,108,387,12.8,18.17,0.362,-2.55,108,True,True
ZONE-LHR-0164,Unmonitored / Spatial Kriging Target,0,0,0,0,0,0,N/A,N/A,N/A,N/A,0,True,True
ZONE-LHR-0165,Unmonitored / Spatial Kriging Target,0,0,0,0,0,0,N/A,N/A,N/A,N/A,0,True,True
ZONE-LHR-0166,Unmonitored / Spatial Kriging Target,0,0,0,0,0,0,N/A,N/A,N/A,N/A,0,True,True
ZONE-LHR-0167,Unmonitored / Spatial Kriging Target,0,0,0,0,0,0,N/A,N/A,N/A,N/A,0,True,True
